"name","counts","id","artistart","song_names_list"
"Summer Walker",3,"57LYzLEk2LcFghVwuWbcuS","https://i.scdn.co/image/ab6761610000e5ebfade412170364e8067c9df7a","1.Shame,2.I'll Kill You,3.Girls Need Love (Girls Mix)"
"The Cheetah Girls ",3,NA,NA,"1.Amigas Cheetahs,2.Strut,3.Step Up"
"The Internet",3,"7GN9PivdemQRKjDt4z5Zv8","https://i.scdn.co/image/ab6761610000e5ebc32c5dcda378eb561f81b1f9","1.Girl,2.Girl,3.Hold On"
"The Little Mermaid Cast",3,NA,NA,"1.Kiss the Girl,2.Under the Sea,3.Kiss the Girl"
"The Temptations",3,"3RwQ26hR2tJtA8F9p2n7jG","https://i.scdn.co/image/ab6761610000e5ebec212a39ffa4182a0fff4e3c","1.My Girl,2.My Girl,3.My Girl"
"TLC",3,"0TImkz4nPqjegtVSMZnMRq","https://i.scdn.co/image/ab6761610000e5eb7356ae4581e46319f99c813a","1.No Scrubs,2.No Scrubs,3.Red Light Special"
"112",2,"7urq0VfqxEYEEiZUkebXT4","https://i.scdn.co/image/21a8b23a23a41f3736b2dd6a5df2d7dc8341ea05","1.Anywhere,2.All My Love"
"50 Cent",2,"3q7HBObVc0L8jNeTe5Gofh","https://i.scdn.co/image/dd031b9c5d1b6eba4a691cd89c954255aae787f2","1.Big Rich Town,2.I'm Supposed To Die Tonight"
"Akon",2,"0z4gvV4rjIZ9wHck67ucSV","https://i.scdn.co/image/ab6761610000e5eb3b6ab4190c7435238735b59d","1.Bartender,2.Bartender"
"Alina Baraz",2,"6hfwwpXqZPRC9CsKI7qtv1","https://i.scdn.co/image/ab6761610000e5eb04bd5a6bee2cdd5536651e77","1.Can I,2.Fantasy"
"All Time Low",2,"46gyXjRIvN1NL1eCB8GBxo","https://i.scdn.co/image/ab6761610000e5ebc42923f098c078d2caace1b7","1.Dirty Laundry,2.Oh, Calamity!"
"Ariana Grande",2,"66CXWjxzNUsdJxJ2JdwvnR","https://i.scdn.co/image/ab6761610000e5eb40b5c07ab77b6b1a9075fdc0","1.Intro,2.pov"
"August Alsina",2,"19Fi1Rj7kk8kyiwxpXy3yM","https://i.scdn.co/image/ab6761610000e5eb45ffc8f55fc50b8888e97f98","1.Kissin' On My Tattoos,2.I Luv This Shit "
"Babyface",2,"3aVoqlJOYx31lH1gibGDt3","https://i.scdn.co/image/ab6761610000e5eb9926d5cdd11ceb280a73a583","1.Two Occasions,2.Liquor"
